Product,Gender,Accords,Description,AdditionalInfo,TopNotes,MiddleNotes,BaseNotes,love,like,ok,dislike,hate,winter,spring,summer,fall,day,night,,
A Pantheon Roma,women and men,"sweet (100%), vanilla (88.5633%), tropical (82.2364%), coconut (68.9341%), powdery (68.4475%), amber (66.5004%), fruity (62.4449%), musky (54.8204%), white floral (51.0891%), iris (49.4668%)","A by Pantheon Roma is a Amber Floral fragrance for women and men. This is a new fragrance. A was launched in 2023. The nose behind this fragrance is Arturetto Landi. Top notes are Mango, Coconut and Pink Pepper; middle notes are Jasmine Sambac, Iris and Orchid; base notes are Vanilla, Tonka Bean, Amber, Musk and Patchouli.","Pantheon Roma presented its new fragrance A from the Exclusive Collection as a rework of the theme of its Annone fragrance from 2018. The new fragrance is available on the market from the end of April 2023. t.
Top notes: pink pepper, coconut, mango
Heart: iris, orchid, Sambac jasmine
Base: vanilla, tonka, patchouli, amber, musk
Available as a 100 ml Extrait.","Mango, Coconut, Pink Pepper","Jasmine Sambac, Iris, Orchid","Vanilla, Tonka Bean, Amber, Musk, Patchouli",100,43.9394,27.2727,18.1818,6.06061,62.7451,80.3922,86.2745,88.2353,100,88.2353,,
District of Nolo Trussardi,women and men,"iris (100%), powdery (97.8308%), earthy (96.4508%), musky (86.3941%), aquatic (73.0847%), ozonic (67.4646%), floral (61.8451%), rose (57.6056%), amber (56.6199%), fresh (55.2393%)","District of Nolo by Trussardi is a Floral Fruity fragrance for women and men. This is a new fragrance. District of Nolo was launched in 2023. The nose behind this fragrance is Aure?lien Guichard. Top notes are Violet Leaf, Earthy Notes, Pear and Italian Lemon; middle notes are Italian Orris Root, Pear, Rose and Hedione; base notes are Musk, Ambroxan and Madagascar Vanilla.",Not Found,"Violet Leaf, Earthy Notes, Pear, Italian Lemon","Italian Orris Root, Pear, Rose, Hedione","Musk, Ambroxan, Madagascar Vanilla",81.6667,100,61.6667,35,10,44.898,100,57.1429,73.4694,75.5102,51.0204,,
White On White Xerjoff,women and men,"woody (100%), powdery (79.4416%), fruity (63.9807%), sweet (62.2814%), warm spicy (59.2234%), musky (55.4855%), balsamic (49.3688%), amber (48.6892%), vanilla (48.6892%), patchouli (45.2911%)","White On White by Xerjoff is a fragrance for women and men. This is a new fragrance. White On White was launched in 2023. Top notes are Fig and Bergamot; middle notes are Patchouli, Tolu Balsam and Cedarwood; base notes are Sandalwood, Musk, Vanilla and Amber.","A scent that will forever hold the poetic portrayals that were received from our dedicated Xerjoff clients who took the time to test and trial the creations within the exclusive White on White set.
A perfume whose aura echoes the poise and passion that was attained from your input when selecting the scent.
White on White commences with fresh hints of bergamot and earthy undertones of fig leaf, which settle down to reveal a soft cloud of fig milk, with cedarwood, patchouli and Tolu balsam at the woody heart.
Soothing and sophisticated, White on White radiates a comforting blend of amber, musk and Bourbon vanilla that lull the senses to a dreamlike state at the base.
OLFACTORY NOTES","Fig, Bergamot","Patchouli, Tolu Balsam, Cedarwood","Sandalwood, Musk, Vanilla, Amber",100,31.0345,24.1379,17.2414,6.89655,72.7273,100,36.3636,95.4545,68.1818,63.6364,,
Blend No.83 Imaginary Authors,women and men,"warm spicy (100%), coffee (72.8573%), sweet (71.6072%), chocolate (70.0002%), rum (57.1431%), amber (55.0002%), musky (51.4286%), vanilla (45.8929%), cacao (45%)",Blend No.83 by Imaginary Authors is a fragrance for women and men. This is a new fragrance. Blend No.83 was launched in 2023.,Not Found,"Dark Chocolate, Coffee, Rum, Benzoin, Musk, Sugar Cane",,,100,79.1667,27.0833,4.16667,0,100,18.75,4.6875,85.9375,21.875,89.0625,,
Rendez-vous √† Paris Montale,women and men,"rose (100%), sweet (87.2859%), fruity (69.4286%), powdery (68.9998%), vanilla (64.2859%), patchouli (60.0001%), musky (60.0001%), warm spicy (59.1427%), floral (50.9999%), green (49.4286%)","Rendez-vous √† Paris by Montale is a Amber Floral fragrance for women and men. This is a new fragrance. Rendez-vous √† Paris was launched in 2023. The nose behind this fragrance is Pierre Montale. Top notes are Pear and Rhubarb; middle notes are Rose Petals, Patchouli, White Flowers and Ginger; base notes are Musk, Sugar, Vanilla, Powdery Notes and Ambergris.",Not Found,"Pear, Rhubarb","Rose Petals, Patchouli, White Flowers, Ginger","Musk, Sugar, Vanilla, Powdery Notes, Ambergris",91.3043,100,56.5217,21.7391,2.17391,42.5532,100,76.5957,91.4894,76.5957,74.4681,,
Holy Neroli Montale,women and men,"white floral (100%), citrus (97.9899%), vanilla (54.9504%), musky (52.1784%), powdery (51.9011%), sweet (50.5149%), fresh (49.1287%), soapy (46.2179%), floral (45.8713%), rose (45.2474%)","Holy Neroli by Montale is a fragrance for women and men. This is a new fragrance. Holy Neroli was launched in 2023. The nose behind this fragrance is Pierre Montale. Top notes are Neroli, Bitter Orange and Sicilian Bergamot; middle notes are Tunisian Orange Blossom, Bulgarian Rose and Cedar; base notes are Vanilla Sugar, Musk and Amber.","From the depths of winter to the scorching heat of summer, Holy Neroli will take you on a dreamy journey, thanks to Patchouli, the secret of the great oriental fragrances.
The divine spices will carry you into a joyous trance, where multicolored pigments catching the light of day.
??Morrocan Neroli, Bitter Orange Leaves, Sicilian Bergamot Zests.
??Tunisian Orange Blossom, White Cedar, Bulgarian Rose.
??Precious Amber, Vanilla Sugar, Fluffy Musks.
Let yourself be captured by the revelation of Neroli when, in the midst of this olfactory dance, Vanilla and White Musk form an edge of honor.","Neroli, Bitter Orange, Sicilian Bergamot","Tunisian Orange Blossom, Bulgarian Rose, Cedar","Vanilla Sugar, Musk, Amber",100,97.2973,51.3514,27.027,5.40541,21.7391,100,89.1304,52.1739,89.1304,43.4783,,
Sweet Xplosion Lorenzo Pazzaglia,women and men,"vanilla (100%), sweet (94.4564%), aromatic (81.7423%), citrus (75.8294%), honey (71.6896%), warm spicy (69.3245%), coffee (61.0454%), coconut (59.5675%), green (58.6804%), balsamic (57.5712%)","Sweet Xplosion by Lorenzo Pazzaglia is a fragrance for women and men. This is a new fragrance. Sweet Xplosion was launched in 2023. The nose behind this fragrance is Lorenzo Pazzaglia. Top notes are White Honey, Lime, Coconut Milk and Grapefruit; middle notes are Davana, Argan, Ylang Ylang, Broom, Malva and Taif Rose; base notes are Vanilla, Coffee, Tonka Bean, Patchouli, Benzoin and Musk.","""An explosion of olfactory sensations, of joy, of serenity, which lift our spirits and isolate us from everyday life, in a precious moment that brings us well-being: Sweet Explosion is just this.""
TOP NOTES
lime, grapefruit, coconut milk, white honey
MIDDLE NOTES
Taif rose, ylang ylang, argan oil, broom, davana, mallow
BASE NOTES
coffee beans, sweet vanilla, tonka bean, patchouli, benzoin, musk","White Honey, Lime, Coconut Milk, Grapefruit","Davana, Argan, Ylang Ylang, Broom, Malva, Taif Rose","Vanilla, Coffee, Tonka Bean, Patchouli, Benzoin, Musk",100,52.1739,21.7391,14.4928,5.7971,96.5517,86.2069,50,96.5517,100,86.2069,,
H√ÜC DIES Filippo Sorcinelli,women and men,"powdery (100%), woody (98.4313%), musky (80.8003%), vanilla (80.1283%), citrus (76.766%), sweet (70.4911%), amber (68.2498%), fruity (63.4685%), green (61.2272%), white floral (50.9175%)","H√ÜC DIES by Filippo Sorcinelli is a fragrance for women and men. This is a new fragrance. H√ÜC DIES was launched in 2023. The nose behind this fragrance is Filippo Sorcinelli. Top notes are Aloe Vera, Bergamot, Jasmine and Orange; middle notes are Peach, Cedar, Myrrh and Rose; base notes are Musk, Vanilla, Amber, Sandalwood and Patchouli.","The new fragrance from Filippo Sorcinelli is being unveiled today right on the heels of Easter events. Filippo emphasizes these moments by interpreting in olfaction some passages from Mark's Gospel, particularly the moment of the Women's astonishment and fear when they realize that the stone of the Sepulcher has rolled away. In an ideal image to describe this moment, the bottle the very expensive aloe- and myrrh-based aromatic oils that they had prepared to anoint Jesus' body is dropped to the ground the moment they saw not only the stone rolled away, but all the white linen cloths that wrapped the body. Hence the announcement of a young man dressed in blazing white.... The bottle along with the four ""wings"" that open as ""ritual"" are covered with sand, with dust, just to remind us of the steps, the road and the place. But the attention-blocking element is the cap that mimics the stylistic features of the tombstone that has rolled away, just as they used to be built. The artwork is covered in its entirety by a white linen veil, on which the name of the fragrance is reproduced: H√ÜEC DIES. The outside of the packaging is also covered with the same linen.","Aloe Vera, Bergamot, Jasmine, Orange","Peach, Cedar, Myrrh, Rose","Musk, Vanilla, Amber, Sandalwood, Patchouli",100,32.3077,35.3846,10.7692,7.69231,83.0508,100,93.2203,94.9153,100,76.2712,,
Happy Nuts BORNTOSTANDOUT¬Æ,women and men,"sweet (100%), woody (82.1257%), nutty (76.9289%), almond (75.6692%), vanilla (74.8818%), caramel (59.921%), aromatic (59.2914%), green (58.504%), honey (58.3462%), amber (55.9839%)","Happy Nuts by BORNTOSTANDOUT¬Æ is a fragrance for women and men. This is a new fragrance. Happy Nuts was launched in 2023. The nose behind this fragrance is Margaux Le Paih Gu√©rin. Top notes are Pistachio, Almond, Rum, Caramel and Honey; middle notes are Vanilla, Sesame and Davana; base notes are Tonka, White Musk, Tobacco, Ambergris, Guaiac Wood and Patchouli.","Notes: Pistachio, Almond, Honey, Caramel, Rum, Vanilla, Davana Essence, Black S√©sam extract CO2, Gaiac Wood, Tobacco, Grey Amber, Tonka Absolute, Patchouli Essence, White Musks.","Pistachio, Almond, Rum, Caramel, Honey","Vanilla, Sesame, Davana","Tonka, White Musk, Tobacco, Ambergris, Guaiac Wood, Patchouli",100,68.5714,25.7143,25.7143,5.71429,100,62.069,31.0345,100,82.7586,58.6207,,
Hydra Figue Miller Harris,women and men,"woody (100%), aromatic (90.8733%), marine (90.1942%), salty (76.7676%), warm spicy (72.9206%), fruity (68.6208%), sweet (55.7221%), powdery (55.3448%), musky (53.9871%), herbal (51.0454%)","Hydra Figue by Miller Harris is a fragrance for women and men. This is a new fragrance. Hydra Figue was launched in 2023. The nose behind this fragrance is Emilie Bouge. Top notes are Ginger, Ouzo, Cardamom, Bergamot, Lemon and Saffron; middle notes are Fig, Marine notes, Sea Salt, Sage, Mirabilis and Tuberose; base notes are Sandalwood, Oak, Musk and Ambroxan.","A balanced, woody, citrus and marine fragrance carefully created to capture the organic spirit, wild beauty and slow pace of the Greek Island, Hydra. A nirvana for the senses, the fragrance opens with a fresh citrus note of cedrat and lemon combined with an exquisite spicy touch of Greek saffron and a unique Ouzo accord.
Beguiling white tuberose and Mirabilis Jalapa add a tranquil character while a velvet musk caresses the elegant woody notes of sandalwood, ambroxan and upcycled oakwood, for a rich and unforgettable trail.
The oakwood is extracted through our UpCycled initiative, from pre-used wine barrels. Up-cycled Hydrolat Sage, a by-product in the extraction of oil from sage, brings a gentle aromatic freshness, paying homage to the long-treasured natural springs of the island.
This is a scented story of human nature, slow-living and creative fuel. Hydra Figue was created by perfumer Emilie Bouge and inspired by the natural wild beauty of the Greek island of Hydra (?òthe Pearl of the Aegean Sea??, Hydra is an island where there is no rush hour, only the call of church bells and the lapping of the clear sea against rocky shores. The scent of aromatic fig trees and freshwater springs dance across a rugged landscape, where bohemians and artists have long flocked for inspiration and artistic sustenance.
The scent of the artist?ôs idyll. Journey, to a Greek Bohemian paradise. A complex woody, citrus and marine fragrance combining the fruit of the fig with sea salt, Greek saffron and upcycled oakwood.
Top notes: Bergamot, Cardamom, Citron, Ginger, Greek saffron, Lemon, Ouzo
Middle notes: Fig, Tuberose, Sea Salt, Sage, Marine Accord, Mirabilis Jalapa
Base notes: Benzoin, Musk, Amber, Sandalwood, Vanilla","Ginger, Ouzo, Cardamom, Bergamot, Lemon, Saffron","Fig, Marine notes, Sea Salt, Sage, Mirabilis, Tuberose","Sandalwood, Oak, Musk, Ambroxan",100,79.2453,33.9623,16.9811,3.77358,4.41176,79.4118,100,39.7059,98.5294,26.4706,,
"Sea, Sud & Sun Versatile Paris",women and men,"sweet (100%), fruity (85.7017%), white floral (67.3002%), marine (67.3002%), citrus (67.3002%), musky (62.2027%), anis (58.597%), lactonic (57.9754%), aromatic (53.3125%), woody (50.888%)","Sea, Sud & Sun by Versatile Paris is a Citrus Aromatic fragrance for women and men. This is a new fragrance. Sea, Sud & Sun was launched in 2023. The nose behind this fragrance is Anne-Sophie Behaghel. Top notes are Fig, Milk and Citruses; middle notes are Orange Blossom, Sea Notes and Anise; base notes are Musk, Nougat and Trop√©zienne Tarte.",Not Found,"Fig, Milk, Citruses","Orange Blossom, Sea Notes, Anise","Musk, Nougat, Trop√©zienne Tarte",95.2381,100,59.5238,19.0476,2.38095,14.5161,69.3548,100,32.2581,80.6452,14.5161,,
Iris Medicis Intense Nicolai Parfumeur Createur,women and men,"powdery (100%), woody (74.0251%), iris (71.2922%), leather (57.5281%), musky (54.5785%), violet (52.6123%), green (48.4833%), animalic (47.9914%), earthy (46.5167%), balsamic (44.1573%)","Iris Medicis Intense by Nicolai Parfumeur Createur is a Floral Woody Musk fragrance for women and men. This is a new fragrance. Iris Medicis Intense was launched in 2023. The nose behind this fragrance is Patricia de Nicolai. Top notes are Galbanum and Carrot Seeds; middle notes are Iris, Orange Blossom, Neroli and Violet; base notes are Sandalwood, Leather, Musk and Vanilla.",Not Found,"Galbanum, Carrot Seeds","Iris, Orange Blossom, Neroli, Violet","Sandalwood, Leather, Musk, Vanilla",100,44.8276,17.2414,10.3448,0,59.0909,77.2727,54.5455,68.1818,100,59.0909,,
Osmanthe Liu Yuan Le Jardin Retrouve,women and men,"fruity (100%), floral (87.1558%), leather (70.1375%), powdery (62.1099%), animalic (59.4608%), lactonic (59.3805%), citrus (57.2937%), white floral (57.2937%), musky (55.688%), fresh (54.8051%)","Osmanthe Liu Yuan by Le Jardin Retrouve is a Floral fragrance for women and men. This is a new fragrance. Osmanthe Liu Yuan was launched in 2023. The nose behind this fragrance is Maxence Moutte. Top note is Citruses; middle notes are Osmanthus, Jasmine and Iris; base notes are Apricot, Leather and Musk.","Osmanthe Liu Yuan was created by perfumer Maxence Moutte and inspired by his Provencal childhood. With sparkling citrus top notes, a floral heart of osmanthus, jasmine and iris and basenotes nuanced with leather, apricots and gentle musks, Osmanthe Liu Yuan is a ray of sunshine, bottled.",Citruses,"Osmanthus, Jasmine, Iris","Apricot, Leather, Musk",100,96,32,4,8,25,100,96.4286,50,82.1429,25,,
Th√© Amara Van Cleef & Arpels,women and men,"green (100%), woody (82.7966%), citrus (82.6186%), musky (81.7288%), fresh spicy (77.4572%), aromatic (72.3557%), powdery (70.5761%), floral (65.4152%), rose (63.3388%), sweet (48.568%)","Th√© Amara by Van Cleef & Arpels is a fragrance for women and men. This is a new fragrance. Th√© Amara was launched in 2023. Top notes are Bergamot, Tea, Mint and Pink Pepper; middle notes are Rose and Sweet Pea; base notes are White Musk, Cedar and Cashmeran.","A sensational fragrance with complex and nuanced facets for a creation imbued with emotions. The elements intertwine in a perfect alchemy.
A green and floral tea with lively notes of bergamot and peppermint supported by the spicy accents of pink pepper that introduce an elegant bouquet of roses and sweet peas. It's velvety and enveloping White Musk and Cashmeran base warms up the fragrance, bringing depth and a unique trail to this unique eau de parfum, Th√© Amara.","Bergamot, Tea, Mint, Pink Pepper","Rose, Sweet Pea","White Musk, Cedar, Cashmeran",77.0833,100,20.8333,22.9167,14.5833,28.8889,97.7778,100,33.3333,88.8889,22.2222,,
Blue Laverne Bakhur Laverne,women and men,"smoky (100%), amber (93.913%), oud (80.7245%), woody (67.8742%), balsamic (67.536%), leather (67.1978%), warm spicy (63.4785%), fresh spicy (60.435%), aromatic (51.3045%), animalic (50.6282%)",Blue Laverne Bakhur by Laverne is a Amber Woody fragrance for women and men. This is a new fragrance. Blue Laverne Bakhur was launched in 2023. The nose behind this fragrance is Christian Provenzano.,Not Found,"Incense, Agarwood (Oud), Leather, Violet Leaves, Cypress, Bergamot, Musk, Guaiac Wood, Geranium, Patchouli, Jasmine",,,100,45.4545,27.972,1.74825,7.69231,35.3933,48.8764,100,67.9775,35.3933,48.8764,,
Queening Mind Games,women and men,"powdery (100%), vanilla (78.6956%), coconut (69.1303%), iris (62.6088%), woody (58.6956%), sweet (57.1737%), musky (49.5653%), floral (48.0434%), rum (47.3912%), fruity (45.6522%)","Queening by Mind Games is a fragrance for women and men. This is a new fragrance. Queening was launched in 2023. The nose behind this fragrance is Christelle Laprade. Top notes are Cotton Flower, Apple and Cypress; middle notes are Orris Root, Rum and Saffron; base notes are Coconut, Vanilla and Musk.","Queening is a celebration of achieving one's goals, symbolizing a journey through challenges, and overcoming obstacles to emerge stronger and renewed. This exquisite perfume fragrance combines the royal scent of Orris with the sweetness of vanilla, creating an uplifting opening, followed by aged rum and saffron. Dedicated to daily successes, major accomplishments, and the rewards they bring, this captivating scent empowers all current and aspiring Queens.
""Undeniably loved by all, Queening brings the most desirable notes of clean cotton, creamy orris and vanilla together in a dreamy, cocooning blend. Fluffy musks, rum and coconut embody the enveloping gourmand elements of comfort and nourishment."" - Christelle Laprade, Perfumer.","Cotton Flower, Apple, Cypress","Orris Root, Rum, Saffron","Coconut, Vanilla, Musk",100,54.7945,17.8082,10.9589,8.21918,78.4314,100,64.7059,96.0784,100,80.3922,,
Drunk Lovers BORNTOSTANDOUT¬Æ,women and men,"woody (100%), warm spicy (81.8937%), aromatic (78.0445%), fresh spicy (66.7819%), citrus (64.501%), vanilla (57.729%), fruity (57.0875%), sweet (55.3768%), powdery (53.3096%), amber (52.953%)","Drunk Lovers by BORNTOSTANDOUT¬Æ is a fragrance for women and men. This is a new fragrance. Drunk Lovers was launched in 2023. The nose behind this fragrance is Hamid Merati-Kashani. Top notes are Cognac, Red Berries, Grapefruit, Juniper, Bergamot and Lemon; middle notes are Pepper, Clary Sage, Cypress and Ginger; base notes are Vanilla, Sandalwood, Benzoin, Amber, Musk, Virginian Cedar, Patchouli, Cardamom, Cinnamon and Vetiver.",Not Found,"Cognac, Red Berries, Grapefruit, Juniper, Bergamot, Lemon","Pepper, Clary Sage, Cypress, Ginger","Vanilla, Sandalwood, Benzoin, Amber, Musk, Virginian Cedar, Patchouli, Cardamom, Cinnamon, Vetiver",100,51.7857,39.2857,19.6429,1.78571,100,67.4419,51.1628,100,69.7674,88.3721,,
White Rice d'Annam,women and men,"powdery (100%), iris (95.8821%), musky (87.647%), savory (79.4116%), lactonic (62.941%), sweet (57.1763%), earthy (56.3528%), woody (51.4116%), white floral (46.4705%)","White Rice by d'Annam is a Floral fragrance for women and men. This is a new fragrance. White Rice was launched in 2023. White Rice was created by Anh Ngo and IFF. Top note is Rice; middle notes are Orris and Jasmine; base notes are White Musk, Cedarwood and Tonka Bean.","A tribute to Vietnam's cultural symbol of livelihood - the white jasmine rice. Found at nearly every Vietnamese meal, the humble bowl of rice has nurtured generations. This scent presents a subtly sweet aroma, harmonizing gentle softness with the rice grain's nuttiness. As you savor it, you embrace the heart of Vietnamese culture, where humble beginnings flourish into enduring strength.
Gender: Unisex
Top Notes: Rice, Pandan
Heart Notes: Orris, Jasmine
Base Notes: White Musk, Cedarwood, Tonka Bean",Rice,"Orris, Jasmine","White Musk, Cedarwood, Tonka Bean",100,44.4444,6.66667,11.1111,0,75,95,95,85,100,40,,
Vanille Supermassive Les EAUX Primordiales,women and men,"vanilla (100%), amber (90.2777%), balsamic (89.4998%), aromatic (82.6942%), woody (80.7497%), musky (78.9995%), patchouli (68.8886%), sweet (62.8609%), powdery (62.083%), warm spicy (60.3335%)","Vanille Supermassive by Les EAUX Primordiales is a Amber Vanilla fragrance for women and men. This is a new fragrance. Vanille Supermassive was launched in 2023. The nose behind this fragrance is Arnaud Poulain. Top notes are elemi and Bergamot; middle notes are Labdanum, Cinnamon and Fir Resin; base notes are Vanilla, Patchouli, Caramel, Ambroxan, White Musk and Moss.","Les Eaux Primordiales draws inspiration from primordial waters, symbolizing life's origins. Vanille Supermassive, with base notes of patchouli and white musks, reveals majestic vanilla amid woody notes, immersing the wearer in the mysteries of the ocean depths and the universe.
Top notes: Bergamot, Elemi
Middle notes: Cinnamon, Fir balsam, Labdanum
Base notes: Patchouli, Vanilla, Caramel, Ambroxan, Moss, White musks
Available as a 50ml Extrait de Parfum.","elemi, Bergamot","Labdanum, Cinnamon, Fir Resin","Vanilla, Patchouli, Caramel, Ambroxan, White Musk, Moss",100,100,40.4762,21.4286,7.14286,100,54,26,100,70,94,,
Slut √âlixir Aaron Terence Hughes,women and men,"woody (100%), vanilla (91.3199%), powdery (88.9396%), fruity (82.3598%), aromatic (81.7997%), sweet (79.7%), musky (74.7999%), green (73.3997%), amber (67.8001%), warm spicy (61.0797%)","Slut √âlixir by Aaron Terence Hughes is a Woody Aromatic fragrance for women and men. This is a new fragrance. Slut √âlixir was launched in 2023. The nose behind this fragrance is Aaron Terence Hughes. Top notes are Peppermint, Blood Mandarin, Lavender and Lemon; middle notes are Tonka, Vanilla, Plum, Peach, Amber, Apple and Rhubarb; base notes are White Musk, Sandalwood, Cedarwood and Patchouli.",Not Found,"Peppermint, Blood Mandarin, Lavender, Lemon","Tonka, Vanilla, Plum, Peach, Amber, Apple, Rhubarb","White Musk, Sandalwood, Cedarwood, Patchouli",100,13.4615,1.92308,1.92308,13.4615,94.1176,94.1176,55.8824,100,58.8235,100,,
Eccentric Franck Boclet,women and men,"powdery (100%), vanilla (91.8181%), cherry (80.9093%), woody (73.273%), sweet (72%), soft spicy (54.1819%), musky (53.6362%), iris (53.6362%), citrus (51.818%), anis (49.9998%)","Eccentric by Franck Boclet is a Floral Fruity Gourmand fragrance for women and men. This is a new fragrance. Eccentric was launched in 2023. The nose behind this fragrance is Sidonie Lancesseur. Top notes are Star Anise, Mandarin Orange and Bergamot; middle notes are Cherry and Iris; base notes are Vanilla, Sandal and Musk.",Not Found,"Star Anise, Mandarin Orange, Bergamot","Cherry, Iris","Vanilla, Sandal, Musk",100,40.9091,50,13.6364,4.54545,68.4211,42.1053,10.5263,100,57.8947,57.8947,,
Solar Power Phlur,women and men,"citrus (100%), white floral (79.8305%), aldehydic (46.4914%)","Solar Power by Phlur is a fragrance for women and men. This is a new fragrance. Solar Power was launched in 2023. The nose behind this fragrance is Greg Husar. Top notes are Blood Mandarin, Bergamot and Jasmine; middle notes are Orange Blossom and Neroli; base notes are Solar Notes, Musk, Sea Salt and Driftwood.","Golden. Glowing. Glistening.

Bathed in brilliance, Solar Power is a golden floral musk composition that exudes the sensuality of salty, sun-kissed skin. Opening with a sparkling burst of bold citrus notes of Bergamot and Red Mandarin, Solar Power is illuminated by a warm solar floral accord of Neroli, Jasmine, and Orange Flower and wrapped in a comforting blend of Musk, Driftwood, and Sea Salt.
""Solar Power is the epitome of sensual luminosity in a bottle?¶it is inspired by the diffusive glow of sunlight.""
Greg Husar, Solar Power Perfumer.","Blood Mandarin, Bergamot, Jasmine","Orange Blossom, Neroli","Solar Notes, Musk, Sea Salt, Driftwood",76,100,58,26,14,7.46269,53.7313,100,11.9403,79.1045,8.95522,,
A Kiss Of Bliss Penhaligon's,women and men,"powdery (100%), green (84.8349%), musky (76.1981%), floral (72.7832%), mossy (62.1378%), earthy (60.9326%), white floral (58.1206%), woody (53.9022%), patchouli (51.0902%), citrus (47.6758%)","A Kiss Of Bliss by Penhaligon's is a fragrance for women and men. This is a new fragrance. A Kiss Of Bliss was launched in 2023. Top notes are Clover, Bergamot and Rose; middle notes are Matcha Tea, Jasmine and Heliotrope; base notes are Musk, Moss and Patchouli.",Spritz those blues away with bergamot and green clover. Musk and rose sing from the hilltops: would one like to join? An eau de parfum borne from sunny days to have you dancing all night long.,"Clover, Bergamot, Rose","Matcha Tea, Jasmine, Heliotrope","Musk, Moss, Patchouli",100,64.1509,30.1887,9.43396,7.54717,52.1739,100,58.6957,78.2609,86.9565,43.4783,,
Karma Tesori d'Oriente,women and men,"floral (100%), citrus (79.9644%), tropical (74.5229%), vanilla (64.9586%), musky (60.2317%), powdery (57.593%), sweet (55.8618%), lactonic (54.6801%), woody (50.2827%), white floral (49.788%)","Karma by Tesori d'Oriente is a fragrance for women and men. This is a new fragrance. Karma was launched in 2023. Top notes are Lemon, Bergamot, Citrus Blossom and Watery Notes; middle notes are Frangipani, Pear Blossom, Tiare Flower and Ylang-Ylang; base notes are Musk, Vanilla, Cedar, Coconut and Tonka Bean.",Not Found,"Lemon, Bergamot, Citrus Blossom, Watery Notes","Frangipani, Pear Blossom, Tiare Flower, Ylang-Ylang","Musk, Vanilla, Cedar, Coconut, Tonka Bean",43.8776,100,26.5306,18.3673,6.12245,19.802,64.3564,100,33.6634,86.1386,28.7129,,
Cocktail Maracuja New Notes,women and men,"warm spicy (100%), musky (78.5326%), woody (73.7065%), fruity (68.1468%), powdery (66.6794%), amber (62.4326%), sweet (62.2584%), patchouli (57.4131%), fresh (57.2586%), aromatic (49.1119%)","Cocktail Maracuja by New Notes is a Floral Fruity fragrance for women and men. This is a new fragrance. Cocktail Maracuja was launched in 2023. Top notes are Passionfruit, Pear, Lemon, Black Currant and Strawberry; middle notes are Ginger, Cardamom, Cinnamon, Pink Pepper, Jasmine and Rose; base notes are White Musk, Amber, Patchouli, Cedar, Lactones and Vanilla.",Not Found,"Passionfruit, Pear, Lemon, Black Currant, Strawberry","Ginger, Cardamom, Cinnamon, Pink Pepper, Jasmine, Rose","White Musk, Amber, Patchouli, Cedar, Lactones, Vanilla",81.6327,55.102,40.8163,81.6327,100,52.0833,62.5,91.6667,64.5833,100,68.75,,
Kind Intentions Navitus Parfums,women and men,"powdery (100%), vanilla (89.248%), woody (88.3333%), amber (84.9017%), mossy (82.6146%), earthy (78.7252%), marine (75.752%), musky (73.4642%), citrus (68.8887%), warm spicy (65.6862%)","Kind Intentions by Navitus Parfums is a fragrance for women and men. This is a new fragrance. Kind Intentions was launched in 2023. The nose behind this fragrance is J√©r√¥me di Marino. Top notes are Seaweed, Italian Mandarin and Iris; middle notes are White Flowers and Frankincense; base notes are Oakmoss, Madagascar Vanilla, Musk, Sandalwood and Benzoin.",Not Found,"Seaweed, Italian Mandarin, Iris","White Flowers, Frankincense","Oakmoss, Madagascar Vanilla, Musk, Sandalwood, Benzoin",100,56.5217,15.2174,17.3913,15.2174,52.381,100,100,83.3333,90.4762,52.381,,
Ether Xerjoff,women and men,"oud (100%), citrus (94.6334%), woody (90.9776%), caramel (89.1114%), vanilla (74.3333%), fresh spicy (73.4002%), sweet (71.1443%), aromatic (58.9334%), amber (56.4444%), powdery (55.9776%)","Ether by Xerjoff is a fragrance for women and men. This is a new fragrance. Ether was launched in 2023. Top notes are Brazilian Orange, Calabrian bergamot, Bulgarian Rose, Mandarin Orange, Amalfi Lemon and Cumin; middle notes are Benzoin, Siberian Pine, Gurjan balsam, Cypriol Oil or Nagarmotha, Lavender and Clary Sage; base notes are Agarwood (Oud), Caramel, Madagascar Vanilla, Musk and Sandalwood.","The Xerjoff K Blue perfume collection is based on the influential philosophical tradition of the alchemy associated with the holistic, ecological, and ethical methods of biodynamic philosophy.
Biodynamic agriculture and biodynamic gardening is how to integrate science with the spirit of nature.
Each perfume from the Kemi Blue collection is unique in the way it contains one or more ingredients obtained from biodynamic agriculture. Cosmic forces are essential ingredients to complete the Xerjoff K Blue collection circle with a specific astrological perfume production calendar.
In Greek mythology, Ether, meaning pure, fresh air, was considered the pure essence breathed by the gods.
The first spray of Ether hits with fresh, citrus notes of Italian Amalfi lemon, bergamot from Reggio Calabria and Mandarin, arousing the senses and preparing them for an aromatic heart of clary sage, lavender and a drop of benzoin.
Ether draws to a base of warm sandalwood from Ceylon and musk, with sweet hints of vanilla and caramel.
OLFACTORY NOTES","Brazilian Orange, Calabrian bergamot, Bulgarian Rose, Mandarin Orange, Amalfi Lemon, Cumin","Benzoin, Siberian Pine, Gurjan balsam, Cypriol Oil or Nagarmotha, Lavender, Clary Sage","Agarwood (Oud), Caramel, Madagascar Vanilla, Musk, Sandalwood",100,47.8261,13.0435,30.4348,13.0435,94.8718,71.7949,41.0256,100,66.6667,87.1795,,
